Name	Position	Email
Pierre Dubois	manager	pierre.dubois@parcbistro.com
Marie Rousseau	server	marie.rousseau@parcbistro.com
Antoine Moreau	chef	antoine.moreau@parcbistro.com
Isabelle Laurent	server	isabelle.laurent@parcbistro.com
Jacques Bernard	bartender	jacques.bernard@parcbistro.com
Céline Petit	host	celine.petit@parcbistro.com
François Martin	server	francois.martin@parcbistro.com
Sylvie Leroy	chef	sylvie.leroy@parcbistro.com
Luc Garcia	busser	luc.garcia@parcbistro.com
Amélie Roux	server	amelie.roux@parcbistro.com
Philippe Fournier	dishwasher	philippe.fournier@parcbistro.com
Nathalie Girard	kitchen_prep	nathalie.girard@parcbistro.com
Henri Blanc	bartender	henri.blanc@parcbistro.com
Camille Durand	host	camille.durand@parcbistro.com
Joe Piscipo	server	joe.piscipo@parcbistro.com
Kim Bordox	server	kim.bordox@parcbistro.com
Aicha Diop	security	aicha.diop@parcbistro.com
Karim Benali	security	karim.benali@parcbistro.com
Mireille Boucher	security	mireille.boucher@parcbistro.com
Laurent Fabre	doorman	laurent.fabre@parcbistro.com
Olivia Bennett	owner	olivia.bennett@parcbistro.com
Grace Walker	general_manager	grace.walker@parcbistro.com
Peter Kowalski	kitchen_prep	peter.kowalski@parcbistro.com
Keiko Tnaka	kitchen_prep	keiko.tanaka@parcbistro.com
Diego Alvarez	chef	diego.alvarez@parcbistro.com
Ava Thompson	busser	ava.thompson@parcbistro.com
Marco Silva	busser	marco.silva@parcbistro.com
Sofia Rossi	barback	sofia.rossi@parcbistro.com
Liam Oconnor	bartender	liam.oconnor@parcbistro.com
Hannah Cohen	bartender	hannah.cohen@parcbistro.com
Carlos Romero	host	carlos.romero@parcbistro.com
Emily Nguyen	host	emily.nguyen@parcbistro.com
Samir Haddad	server	samir.haddad@parcbistro.com
Priya Nair	server	priya.nair@parcbistro.com
Jordan Patel	server	jordan.patel@parcbistro.com
Alex Chen	server	alex.chen@parcbistro.com
